4865883236,4984342401,1,1,7
3072798733,3103197130,8,5,8
3072798733,3101791329,5,3,7
3072798734,3101785824,2,2,6
3072798734,3103197129,8,4,9
2477258767,2477258787,4,3,5
2477258767,2477258786,3,2,4
2477258768,2477258788,6,4,6
2477258769,2477258771,4,4,5
2477258769,2477258770,7,5,8
2477258770,2477258774,1,1,8
2477258771,2477258776,5,5,8
2477258771,2477258777,3,2,3
2477258771,2477258778,7,7,7
2477258772,2477258774,7,6,7
2477258772,2477258773,6,2,7
2477258773,4182408147,1,1,1
2477258773,4182408155,1,1,1
2477258774,2477258779,8,8,8
2477258775,4182408154,8,3,9
2477258779,4182408154,9,4,9
2477258780,2477258781,5,5,8
2477258782,2477258783,5,4,6
2477258782,4182408143,4,2,4
2477258782,2477260909,9,3,9
2477258783,2477258784,4,4,7
2477258784,2477258785,7,6,9
2477258785,2477258787,6,2,7
2477258786,2477258788,4,2,5
2477258786,2477260908,2,1,2
2624215076,3103183130,5,5,9
2624215077,3089780830,5,2,5
2624215077,3089780834,7,5,8
1430655014,1430655023,3,3,3
1430655014,1430655016,4,3,5
1430655014,1430655025,5,4,6
1430655015,3827608175,4,3,6
1430655015,2281095534,5,2,5
1430655015,1430655035,7,4,9
1430655015,4946614569,1,1,4
1430655016,3827608168,2,2,4
1430655016,1430655022,7,6,7
1430655017,1430655032,6,4,8
1430655017,3827606149,1,1,4
1430655017,1430655026,5,5,5
1430655018,2280678787,8,5,9
1430655018,1430655019,4,2,6
1430655019,4946614565,7,4,8
1430655020,4946614564,5,4,9
1430655020,1430655034,7,7,8
1430655021,3112723448,4,3,9
1430655021,1430655025,7,3,8
1430655021,1430655023,4,2,5
1430655022,1430655025,4,3,6
1430655022,3112723452,5,5,9
1430655022,4946614550,7,7,8
1430655023,1430655032,5,1,8
1430655024,4946614565,6,4,9
1430655024,4946614564,6,2,7
1430655025,3089780842,5,4,5
1430655026,1430655036,6,2,6
1430655026,4894927245,7,7,8
1430655029,4946614568,2,1,3
1430655029,4946614569,1,1,1
1430655030,4946614567,6,4,6
1430655030,4946614568,1,1,3
1430655032,1430655035,6,6,8
1430655034,4946614566,9,4,9
1430655036,3827608175,4,4,8
1430655036,2281095533,4,3,8
5418416194,5418416195,6,1,8
3146844229,4867295782,6,3,7
3146844229,4867295787,6,4,9
3146844229,4867295780,3,1,6
3146844229,3827608174,7,1,9
3146844230,4867295786,8,4,9
3146844230,4867295788,2,1,3
3146844230,3827608168,7,6,9
4712372303,5135931887,3,3,7
4712372303,4712372304,5,3,6
